,,,,,,,,,,,,,Nico tablet,Gina Tablet,,,
Kin22-SunRilHR-1464,UX2031,NC08-23383/TX12D4896,19.6.4,UX2031-125,*,.,1464,2,4/11/2022,101,,,,,1,95,
Kin22-SunRilHR-1465,UX2031,NC08-23383/TX12D4896,19.7.1,UX2031-143,+,.,1465,3,4/21/2022,111,,,,,1,85,
Kin22-SunRilHR-1466,UX2031,NC08-23383/TX12D4896,19.7.2,UX2031-111,-,.,1466,1,4/18/2022,108,,,,,1,90,
Kin22-SunRilHR-1467,Parent,Parent,19.7.3,Hilliard,+,VA-36,1467,2,4/12/2022,102,,,,,2,85,
Kin22-SunRilHR-1468,UX2031,NC08-23383/TX12D4896,19.7.4,UX2031-52,+,.,1468,2,4/13/2022,103,,,,,1,90,
Kin22-SunRilHR-1469,UX2031,NC08-23383/TX12D4896,19.8.1,UX2031-26,-,.,1469,3,4/11/2022,101,,,,,1,90,
Kin22-SunRilHR-1470,UX2031,NC08-23383/TX12D4896,19.8.2,UX2031-81,+,.,1470,2,4/24/2022,114,,,,,2,80,
Kin22-SunRilHR-1471,UX2031,NC08-23383/TX12D4896,19.8.3,UX2031-30,-,.,1471,2,5/1/2022,121,,,,,0,80,
Kin22-SunRilHR-1472,UX2031,NC08-23383/TX12D4896,19.8.4,UX2031-40,-,.,1472,1,4/30/2022,120,,,,,1,85,
Kin22-SunRilHR-1473,UX2031,NC08-23383/TX12D4896,19.9.1,UX2031-102,-,.,1473,3,4/11/2022,101,,,,,1,90,
Kin22-SunRilHR-1474,Parent,Parent,19.9.2,SS8641,-,R-7.1.3,1474,3,4/8/2022,98,,,,,0,85,
Kin22-SunRilHR-1475,UX2031,NC08-23383/TX12D4896,19.9.3,UX2031-80,-,.,1475,3,4/22/2022,112,,,,,1,80,
Kin22-SunRilHR-1476,UX2031,NC08-23383/TX12D4896,19.9.4,UX2031-87,+,.,1476,4,3/27/2022,86,,,,,4,75,
Kin22-SunRilHR-1477,UX2031,NC08-23383/TX12D4896,19.10.1,UX2031-44,+,.,1477,3,4/14/2022,104,,,,,4,100,
Kin22-SunRilHR-1478,UX2031,NC08-23383/TX12D4896,19.10.2,UX2031-137,-,.,1478,3,5/2/2022,122,,,,,0,95,
Kin22-SunRilHR-1479,UX2031,NC08-23383/TX12D4896,19.10.3,UX2031-88,+,.,1479,3,4/8/2022,98,,,,,0,75,
Kin22-SunRilHR-1480,UX2031,NC08-23383/TX12D4896,19.10.4,UX2031-130,-,.,1480,3,4/24/2022,114,,,,,2,85,
Kin22-SunRilHR-1481,UX2031,NC08-23383/TX12D4896,19.11.1,UX2031-116,-,.,1481,3,4/20/2022,110,,,,,3,70,
Kin22-SunRilHR-1482,UX2031,NC08-23383/TX12D4896,19.11.2,UX2031-15,+,.,1482,3,4/23/2022,113,,,,,0,90,
Kin22-SunRilHR-1483,UX2031,NC08-23383/TX12D4896,19.11.3,UX2031-41,+,.,1483,1,4/20/2022,110,,,,,0,85,
Kin22-SunRilHR-1484,Parent,Parent,19.11.4,GA00190-7A14,+,VA-368,1484,2,4/7/2022,97,,,,,1,90,
Kin22-SunRilHR-1485,UX2031,NC08-23383/TX12D4896,19.12.1,UX2031-22,-,.,1485,4,4/4/2022,94,,,,,0,90,
Kin22-SunRilHR-1486,UX2031,NC08-23383/TX12D4896,19.12.2,UX2031-83,+,.,1486,3,4/3/2022,93,,,,,1,70,
Kin22-SunRilHR-1487,UX2031,NC08-23383/TX12D4896,19.12.3,UX2031-77,-,.,1487,3,4/5/2022,95,,,,,4,90,
Kin22-SunRilHR-1488,UX2031,NC08-23383/TX12D4896,19.12.4,UX2031-94,-,.,1488,3,4/3/2022,93,,,,,4,80,
Kin22-SunRilHR-1489,UX2031,NC08-23383/TX12D4896,19.13.1,UX2031-120,-,.,1489,4,3/30/2022,89,,,,,4,75,
Kin22-SunRilHR-1490,Parent,Parent,19.13.2,GA06493-13LE6,+,GA-81738,1490,2,4/13/2022,103,,,,,0,85,
Kin22-SunRilHR-1491,UX2031,NC08-23383/TX12D4896,19.13.3,UX2031-108,-,.,1491,2,4/14/2022,104,,,,,0,75,
Kin22-SunRilHR-1492,UX2031,NC08-23383/TX12D4896,19.13.4,UX2031-121,-,.,1492,2,4/15/2022,105,,,,,1,80,
Kin22-SunRilHR-1493,UX2031,NC08-23383/TX12D4896,19.14.1,UX2031-69,-,.,1493,3,5/3/2022,123,,,,,0,85,
Kin22-SunRilHR-1494,UX2031,NC08-23383/TX12D4896,19.14.2,UX2031-109,*,.,1494,3,4/1/2022,91,,,,,2,75,
Kin22-SunRilHR-1495,Parent,Parent,19.14.3,TX12D4896,+,R-19.1.4,1495,4,4/5/2022,95,,,,,3,90,
Kin22-SunRilHR-1496,UX2031,NC08-23383/TX12D4896,19.14.4,UX2031-47,+,.,1496,4,4/2/2022,92,,,,,3,85,
Kin22-SunRilHR-1497,UX2031,NC08-23383/TX12D4896,19.15.1,UX2031-20,+,.,1497,4,4/15/2022,105,,,,,1,90,
Kin22-SunRilHR-1498,UX2031,NC08-23383/TX12D4896,19.15.2,UX2031-97,-,.,1498,3,4/10/2022,100,,,,,1,85,
Kin22-SunRilHR-1499,UX2031,NC08-23383/TX12D4896,19.15.3,UX2031-7,+,.,1499,2,4/23/2022,113,,,,,0,80,
Kin22-SunRilHR-1500,UX2031,NC08-23383/TX12D4896,19.15.4,UX2031-64,-,.,1500,2,5/3/2022,123,,,,,0,85,
Kin22-SunRilHR-1501,Parent,Parent,19.16.1,GA05450-EL52,+,R-10.1.2,1501,4,4/3/2022,93,,,,,0,85,
Kin22-SunRilHR-1502,UX2031,NC08-23383/TX12D4896,19.16.2,UX2031-63,-,.,1502,3,4/9/2022,99,,,,,4,85,
Kin22-SunRilHR-1503,UX2031,NC08-23383/TX12D4896,19.16.3,UX2031-34,-,.,1503,1,4/15/2022,105,,,,,0,65,
Kin22-SunRilHR-1504,Parent,Parent,19.16.4,GA001138-8E36,+,VA-37,1504,3,4/6/2022,96,,,,,0,95,
Kin22-SunRilHR-1505,UX2031,NC08-23383/TX12D4896,19.17.1,UX2031-5,+,.,1505,2,4/18/2022,108,,,,,3,95,
Kin22-SunRilHR-1506,Parent,Parent,19.17.2,NC08-23383,-,VA-91,1506,2,4/12/2022,102,,,,,1,80,
Kin22-SunRilHR-1507,UX2031,NC08-23383/TX12D4896,19.17.3,UX2031-140,+,.,1507,3,4/12/2022,102,,,,,1,85,
Kin22-SunRilHR-1508,UX2031,NC08-23383/TX12D4896,19.17.4,UX2031-43,+,.,1508,2,5/2/2022,122,,,,,0,80,
Kin22-SunRilHR-1509,UX2031,NC08-23383/TX12D4896,19.18.1,UX2031-23,-,.,1509,2,5/1/2022,121,,,,,3,90,
Kin22-SunRilHR-1510,UX2031,NC08-23383/TX12D4896,19.18.2,UX2031-142,+,.,1510,3,4/21/2022,111,,,,,0,85,
Kin22-SunRilHR-1511,UX2031,NC08-23383/TX12D4896,19.18.3,UX2031-48,+,.,1511,3,4/1/2022,91,,,,,0,75,
Kin22-SunRilHR-1512,Parent,Parent,19.18.4,AGS2000,+,GA-81903,1512,3,4/2/2022,92,,,,,1,90,
Kin22-SunRilHR-1513,UX2031,NC08-23383/TX12D4896,19.19.1,UX2031-12,-,.,1513,3,4/5/2022,95,,,,,2,85,
Kin22-SunRilHR-1514,UX2031,NC08-23383/TX12D4896,19.19.2,UX2031-68,*,.,1514,4,3/30/2022,89,,,,,1,80,
Kin22-SunRilHR-1515,Parent,Parent,19.19.3,MPV57,-,R-14.18.3,1515,2,4/13/2022,103,,,,,1,85,
Kin22-SunRilHR-1516,UX2031,NC08-23383/TX12D4896,19.19.4,UX2031-127,-,.,1516,2,4/11/2022,101,,,,,0,85,
Kin22-SunRilHR-1517,Parent,Parent,19.20.1,NC8248-1,+,R-5.1.4,1517,4,3/28/2022,87,,,,,1,85,
Kin22-SunRilHR-1518,UX2031,NC08-23383/TX12D4896,19.20.2,UX2031-124,-,.,1518,2,4/12/2022,102,,,,,4,85,
Kin22-SunRilHR-1519,UX2031,NC08-23383/TX12D4896,19.20.3,UX2031-86,+,.,1519,2,4/14/2022,104,,,,,4,80,
Kin22-SunRilHR-1520,UX2031,NC08-23383/TX12D4896,19.20.4,UX2031-61,*,.,1520,2,4/13/2022,103,,,,,3,95,
Kin22-SunRilHR-1521,Marker,Marker,20.1.1,Barley,+,.,1521,3,4/17/2022,107,,,,,,,
Kin22-SunRilHR-1522,UX2000,GA05450-EL52/NC08-23383,20.1.2,UX2000-176,-,.,1522,3,3/31/2022,90,,,,,4,80,
Kin22-SunRilHR-1523,UX2000,GA05450-EL52/NC08-23383,20.1.3,UX2000-101,-,.,1523,3,4/14/2022,104,,,,,3,85,
Kin22-SunRilHR-1524,UX2000,GA05450-EL52/NC08-23383,20.1.4,UX2000-11,-,.,1524,3,4/5/2022,95,,,,,2,90,
Kin22-SunRilHR-1525,UX2000,GA05450-EL52/NC08-23383,20.2.1,UX2000-39,-,.,1525,3,4/12/2022,102,,,,,4,85,
Kin22-SunRilHR-1526,Parent,Parent,20.2.2,LA09264C-P2,+,R-6.10.1,1526,4,3/27/2022,86,,,,,1,90,
Kin22-SunRilHR-1527,UX2000,GA05450-EL52/NC08-23383,20.2.3,UX2000-136,-,.,1527,3,4/7/2022,97,,,,,4,90,
Kin22-SunRilHR-1528,UX2000,GA05450-EL52/NC08-23383,20.2.4,UX2000-107,+,.,1528,4,3/31/2022,90,,,,,3,85,
Kin22-SunRilHR-1529,UX2000,GA05450-EL52/NC08-23383,20.3.1,UX2000-173,+,.,1529,4,4/4/2022,94,,,,,4,85,
Kin22-SunRilHR-1530,UX2000,GA05450-EL52/NC08-23383,20.3.2,UX2000-121,-,.,1530,1,4/14/2022,104,,,,,2,85,
Kin22-SunRilHR-1531,UX2000,GA05450-EL52/NC08-23383,20.3.3,UX2000-137,+,.,1531,2,4/10/2022,100,,,,,2,80,
Kin22-SunRilHR-1532,Parent,Parent,20.3.4,MPV57,-,R-12.10.1,1532,2,4/12/2022,102,,,,,2,90,
Kin22-SunRilHR-1533,UX2000,GA05450-EL52/NC08-23383,20.4.1,UX2000-41,-,.,1533,3,4/7/2022,97,,,,,3,85,
Kin22-SunRilHR-1534,UX2000,GA05450-EL52/NC08-23383,20.4.2,UX2000-131,-,.,1534,2,4/8/2022,98,,,,,4,80,
Kin22-SunRilHR-1535,UX2000,GA05450-EL52/NC08-23383,20.4.3,UX2000-201,-,.,1535,2,4/20/2022,110,,,,,3,90,
Kin22-SunRilHR-1536,UX2000,GA05450-EL52/NC08-23383,20.4.4,UX2000-35,-,.,1536,4,4/2/2022,92,,,,,0,95,
Kin22-SunRilHR-1537,UX2000,GA05450-EL52/NC08-23383,20.5.1,UX2000-3,+,.,1537,3,4/14/2022,104,,,,,0,95,
Kin22-SunRilHR-1538,UX2000,GA05450-EL52/NC08-23383,20.5.2,UX2000-79,+,.,1538,3,4/7/2022,97,,,,,1,90,
Kin22-SunRilHR-1539,UX2000,GA05450-EL52/NC08-23383,20.5.3,UX2000-183,-,.,1539,3,4/3/2022,93,,,,,0,80,
Kin22-SunRilHR-1540,UX2000,GA05450-EL52/NC08-23383,20.5.4,UX2000-31,-,.,1540,3,4/19/2022,109,,,,,4,85,
Kin22-SunRilHR-1541,UX2000,GA05450-EL52/NC08-23383,20.6.1,UX2000-77,+,.,1541,4,3/28/2022,87,,,,,1,80,
Kin22-SunRilHR-1542,UX2000,GA05450-EL52/NC08-23383,20.6.2,UX2000-114,-,.,1542,1,4/13/2022,103,,,,,2,80,
Kin22-SunRilHR-1543,UX2000,GA05450-EL52/NC08-23383,20.6.3,UX2000-190,-,.,1543,2,4/18/2022,108,,,,,2,90,
Kin22-SunRilHR-1544,Parent,Parent,20.6.4,Hilliard,+,VA-307,1544,2,4/9/2022,99,,,,,1,95,
Kin22-SunRilHR-1545,Parent,Parent,20.7.1,ARGA051160-14LE31,-,VA-510,1545,3,4/8/2022,98,,,,,2,95,
Kin22-SunRilHR-1546,UX2000,GA05450-EL52/NC08-23383,20.7.2,UX2000-52,+,.,1546,4,4/4/2022,94,,,,,3,95,
Kin22-SunRilHR-1547,UX2000,GA05450-EL52/NC08-23383,20.7.3,UX2000-50,+,.,1547,2,4/8/2022,98,,,,,1,90,
Kin22-SunRilHR-1548,UX2000,GA05450-EL52/NC08-23383,20.7.4,UX2000-53,+,.,1548,2,4/20/2022,110,,,,,0,95,
Kin22-SunRilHR-1549,UX2000,GA05450-EL52/NC08-23383,20.8.1,UX2000-55,-,.,1549,3,4/11/2022,101,,,,,1,90,
Kin22-SunRilHR-1550,UX2000,GA05450-EL52/NC08-23383,20.8.2,UX2000-72,+,.,1550,4,3/27/2022,86,,,,,1,80,
Kin22-SunRilHR-1551,Parent,Parent,20.8.3,NC08-23383,-,R-2.1.2,1551,2,4/11/2022,101,,,,,2,85,
Kin22-SunRilHR-1552,UX2000,GA05450-EL52/NC08-23383,20.8.4,UX2000-62,-,.,1552,2,4/12/2022,102,,,,,2,90,
Kin22-SunRilHR-1553,UX2000,GA05450-EL52/NC08-23383,20.9.1,UX2000-21,+,.,1553,2,4/13/2022,103,,,,,1,90,
Kin22-SunRilHR-1554,UX2000,GA05450-EL52/NC08-23383,20.9.2,UX2000-192,+,.,1554,3,4/5/2022,95,,,,,4,85,
Kin22-SunRilHR-1555,UX2000,GA05450-EL52/NC08-23383,20.9.3,UX2000-40,-,.,1555,2,4/20/2022,110,,,,,3,95,
Kin22-SunRilHR-1556,Parent,Parent,20.9.4,GA001138-8E36,+,K-1.8.4,1556,4,4/6/2022,96,,,,,0,105,
Kin22-SunRilHR-1557,UX2000,GA05450-EL52/NC08-23383,20.10.1,UX2000-25,+,.,1557,3,4/21/2022,111,,,,,2,100,
Kin22-SunRilHR-1558,Parent,Parent,20.10.2,SS8641,-,R-6.11.3,1558,3,4/8/2022,98,,,,,0,90,
Kin22-SunRilHR-1559,UX2000,GA05450-EL52/NC08-23383,20.10.3,UX2000-16,+,.,1559,2,4/13/2022,103,,,,,3,85,
Kin22-SunRilHR-1560,UX2000,GA05450-EL52/NC08-23383,20.10.4,UX2000-34,-,.,1560,3,4/2/2022,92,,,,,1,75,
Kin22-SunRilHR-1561,UX2000,GA05450-EL52/NC08-23383,20.11.1,UX2000-42,-,.,1561,3,4/12/2022,102,,,,,4,90,
Kin22-SunRilHR-1562,UX2000,GA05450-EL52/NC08-23383,20.11.2,UX2000-15,+,.,1562,3,4/13/2022,103,,,,,3,85,
Kin22-SunRilHR-1563,UX2000,GA05450-EL52/NC08-23383,20.11.3,UX2000-48,-,.,1563,4,3/28/2022,87,,,,,3,80,
Kin22-SunRilHR-1564,UX2000,GA05450-EL52/NC08-23383,20.11.4,UX2000-6,+,.,1564,3,4/14/2022,104,,,,,2,75,
Kin22-SunRilHR-1565,UX2000,GA05450-EL52/NC08-23383,20.12.1,UX2000-115,-,.,1565,3,4/13/2022,103,,,,,4,75,
Kin22-SunRilHR-1566,UX2000,GA05450-EL52/NC08-23383,20.12.2,UX2000-22,+,.,1566,3,4/5/2022,95,,,,,2,90,
Kin22-SunRilHR-1567,UX2000,GA05450-EL52/NC08-23383,20.12.3,UX2000-12,-,.,1567,3,4/1/2022,91,,,,,3,85,
Kin22-SunRilHR-1568,Parent,Parent,20.12.4,GA06493-13LE6,+,R-14.18.2,1568,3,4/9/2022,99,,,,,1,95,
Kin22-SunRilHR-1569,UX2000,GA05450-EL52/NC08-23383,20.13.1,UX2000-30,+,.,1569,3,4/20/2022,110,,,,,0,95,
Kin22-SunRilHR-1570,UX2000,GA05450-EL52/NC08-23383,20.13.2,UX2000-38,-,.,1570,2,4/9/2022,99,,,,,3,100,
Kin22-SunRilHR-1571,UX2000,GA05450-EL52/NC08-23383,20.13.3,UX2000-10,+,.,1571,2,4/12/2022,102,,,,,3,90,
Kin22-SunRilHR-1572,UX2000,GA05450-EL52/NC08-23383,20.13.4,UX2000-37,-,.,1572,3,4/3/2022,93,,,,,3,95,
Kin22-SunRilHR-1573,UX2000,GA05450-EL52/NC08-23383,20.14.1,UX2000-75,+,.,1573,2,4/13/2022,103,,,,,0,100,
Kin22-SunRilHR-1574,Parent,Parent,20.14.2,GA05450-EL52,+,R-10.1.4,1574,3,4/4/2022,94,,,,,1,85,
Kin22-SunRilHR-1575,UX2000,GA05450-EL52/NC08-23383,20.14.3,UX2000-116,-,.,1575,3,4/14/2022,104,,,,,2,85,
Kin22-SunRilHR-1576,Parent,Parent,20.14.4,NC8248-1,+,VA-267,1576,4,3/27/2022,86,,,,,0,90,
Kin22-SunRilHR-1577,UX2000,GA05450-EL52/NC08-23383,20.15.1,UX2000-54,+,.,1577,2,4/14/2022,104,,,,,3,95,
Kin22-SunRilHR-1578,UX2000,GA05450-EL52/NC08-23383,20.15.2,UX2000-205,-,.,1578,3,4/21/2022,111,,,,,0,95,
Kin22-SunRilHR-1579,UX2000,GA05450-EL52/NC08-23383,20.15.3,UX2000-111,+,.,1579,3,4/7/2022,97,,,,,3,80,
Kin22-SunRilHR-1580,UX2000,GA05450-EL52/NC08-23383,20.15.4,UX2000-204,-,.,1580,2,4/15/2022,105,,,,,4,90,
Kin22-SunRilHR-1581,UX2000,GA05450-EL52/NC08-23383,20.16.1,UX2000-178,*,.,1581,4,3/28/2022,87,,,,,2,85,
Kin22-SunRilHR-1582,UX2000,GA05450-EL52/NC08-23383,20.16.2,UX2000-82,-,.,1582,3,4/6/2022,96,,,,,2,85,
Kin22-SunRilHR-1583,Parent,Parent,20.16.3,TX12D4896,+,K-2.7.3,1583,4,4/5/2022,95,,,,,2,90,
Kin22-SunRilHR-1584,UX2000,GA05450-EL52/NC08-23383,20.16.4,UX2000-19,+,.,1584,4,3/30/2022,89,,,,,1,85,
Kin22-SunRilHR-1585,UX2000,GA05450-EL52/NC08-23383,20.17.1,UX2000-177,-,.,1585,3,4/7/2022,97,,,,,1,85,
Kin22-SunRilHR-1586,UX2000,GA05450-EL52/NC08-23383,20.17.2,UX2000-198,+,.,1586,3,4/10/2022,100,,,,,1,95,
Kin22-SunRilHR-1587,UX2000,GA05450-EL52/NC08-23383,20.17.3,UX2000-17,+,.,1587,1,4/14/2022,104,,,,,2,90,
Kin22-SunRilHR-1588,UX2000,GA05450-EL52/NC08-23383,20.17.4,UX2000-18,+,.,1588,2,4/7/2022,97,,,,,3,80,
Kin22-SunRilHR-1589,Parent,Parent,20.18.1,AGS2000,+,VA-472,1589,4,4/2/2022,92,,,,,1,95,
Kin22-SunRilHR-1590,UX2000,GA05450-EL52/NC08-23383,20.18.2,UX2000-5,+,.,1590,3,4/7/2022,97,,,,,1,85,
Kin22-SunRilHR-1591,UX2000,GA05450-EL52/NC08-23383,20.18.3,UX2000-71,-,.,1591,3,4/13/2022,103,,,,,0,85,
Kin22-SunRilHR-1592,UX2000,GA05450-EL52/NC08-23383,20.18.4,UX2000-186,-,.,1592,2,4/22/2022,112,,,,,0,95,
Kin22-SunRilHR-1593,UX2000,GA05450-EL52/NC08-23383,20.19.1,UX2000-148,+,.,1593,2,4/7/2022,97,,,,,0,80,
Kin22-SunRilHR-1594,UX2000,GA05450-EL52/NC08-23383,20.19.2,UX2000-187,+,.,1594,2,4/9/2022,99,,,,,0,90,
Kin22-SunRilHR-1595,UX2000,GA05450-EL52/NC08-23383,20.19.3,UX2000-13,-,.,1595,2,4/19/2022,109,,,,,1,85,
Kin22-SunRilHR-1596,UX2000,GA05450-EL52/NC08-23383,20.19.4,UX2000-100,-,.,1596,2,4/22/2022,112,,,,,1,85,
Kin22-SunRilHR-1597,UX2000,GA05450-EL52/NC08-23383,20.20.1,UX2000-83,-,.,1597,4,3/30/2022,89,,,,,3,80,
Kin22-SunRilHR-1598,UX2000,GA05450-EL52/NC08-23383,20.20.2,UX2000-193,-,.,1598,2,4/13/2022,103,,,,,0,90,
Kin22-SunRilHR-1599,UX2000,GA05450-EL52/NC08-23383,20.20.3,UX2000-135,+,.,1599,2,4/12/2022,102,,,,,0,90,
Kin22-SunRilHR-1600,Parent,Parent,20.20.4,GA00190-7A14,+,R-17.20.1,1600,3,4/7/2022,97,,,,,1,95,
Kin22-SunRilHR-1601,Marker,Marker,21.1.1,Barley,+,.,1601,1,4/23/2022,113,,,,,1,,
Kin22-SunRilHR-1602,UX1991,GA001138-8E36/GA06493-13LE6,21.1.2,UX1991-59,+,.,1602,2,4/7/2022,97,,,R10,,0,95,
Kin22-SunRilHR-1603,UX1991,GA001138-8E36/GA06493-13LE6,21.1.3,UX1991-3,+,.,1603,2,4/11/2022,101,,,R,,0,100,
Kin22-SunRilHR-1604,UX1991,GA001138-8E36/GA06493-13LE6,21.1.4,UX1991-22,+,.,1604,2,4/14/2022,104,,,R,,0,100,
Kin22-SunRilHR-1605,UX1991,GA001138-8E36/GA06493-13LE6,21.2.1,UX1991-188,+,.,1605,4,3/31/2022,90,,,R,,0,85,
Kin22-SunRilHR-1606,UX1991,GA001138-8E36/GA06493-13LE6,21.2.2,UX1991-10,+,.,1606,3,4/5/2022,95,,,R,,0,95,
Kin22-SunRilHR-1607,Parent,Parent,21.2.3,NC8248-1,+,R-5.1.4,1607,3,3/28/2022,87,,,R10,,0,90,
Kin22-SunRilHR-1608,UX1991,GA001138-8E36/GA06493-13LE6,21.2.4,UX1991-58,+,.,1608,2,4/5/2022,95,,,R,,2,85,
Kin22-SunRilHR-1609,UX1991,GA001138-8E36/GA06493-13LE6,21.3.1,UX1991-30,+,.,1609,3,4/3/2022,93,,,R,,0,95,
Kin22-SunRilHR-1610,UX1991,GA001138-8E36/GA06493-13LE6,21.3.2,UX1991-79,+,.,1610,2,4/4/2022,94,,,R,,2,85,
Kin22-SunRilHR-1611,UX1991,GA001138-8E36/GA06493-13LE6,21.3.3,UX1991-5,+,.,1611,3,3/29/2022,88,,,R,,0,85,
Kin22-SunRilHR-1612,UX1991,GA001138-8E36/GA06493-13LE6,21.3.4,UX1991-39,+,.,1612,3,4/2/2022,92,,,R,,3,90,
Kin22-SunRilHR-1613,UX1991,GA001138-8E36/GA06493-13LE6,21.4.1,UX1991-55,+,.,1613,3,4/11/2022,101,,,R,,0,95,
Kin22-SunRilHR-1614,Parent,Parent,21.4.2,AGS2000,+,GA-81903,1614,3,4/3/2022,93,,,R,,1,90,
Kin22-SunRilHR-1615,UX1991,GA001138-8E36/GA06493-13LE6,21.4.3,UX1991-29,+,.,1615,2,4/24/2022,114,,,R,,0,100,
Kin22-SunRilHR-1616,UX1991,GA001138-8E36/GA06493-13LE6,21.4.4,UX1991-81,+,.,1616,4,4/5/2022,95,,,R,,1,95,
Kin22-SunRilHR-1617,Parent,Parent,21.5.1,MPV57,-,R-14.18.3,1617,1,4/13/2022,103,,,R,,1,85,
Kin22-SunRilHR-1618,UX1991,GA001138-8E36/GA06493-13LE6,21.5.2,UX1991-80,+,.,1618,3,4/9/2022,99,,,R,,0,95,
Kin22-SunRilHR-1619,UX1991,GA001138-8E36/GA06493-13LE6,21.5.3,UX1991-7,+,.,1619,2,5/1/2022,121,,,R,,0,95,
Kin22-SunRilHR-1620,UX1991,GA001138-8E36/GA06493-13LE6,21.5.4,UX1991-38,+,.,1620,2,4/23/2022,113,,,R,,0,95,
Kin22-SunRilHR-1621,UX1991,GA001138-8E36/GA06493-13LE6,21.6.1,UX1991-78,+,.,1621,3,4/15/2022,105,,,R,,0,90,
Kin22-SunRilHR-1622,UX1991,GA001138-8E36/GA06493-13LE6,21.6.2,UX1991-2,+,.,1622,3,4/8/2022,98,,,R,,0,95,
Kin22-SunRilHR-1623,UX1991,GA001138-8E36/GA06493-13LE6,21.6.3,UX1991-17,+,.,1623,3,4/11/2022,101,,,R,,0,90,
Kin22-SunRilHR-1624,UX1991,GA001138-8E36/GA06493-13LE6,21.6.4,UX1991-67,+,.,1624,4,3/30/2022,89,,,R,,1,95,
Kin22-SunRilHR-1625,UX1991,GA001138-8E36/GA06493-13LE6,21.7.1,UX1991-83,+,.,1625,3,4/15/2022,105,,,R,,1,100,
Kin22-SunRilHR-1626,UX1991,GA001138-8E36/GA06493-13LE6,21.7.2,UX1991-23,+,.,1626,4,4/5/2022,95,,,R10,,0,100,
Kin22-SunRilHR-1627,UX1991,GA001138-8E36/GA06493-13LE6,21.7.3,UX1991-70,+,.,1627,3,4/10/2022,100,,,R,,0,95,
Kin22-SunRilHR-1628,Parent,Parent,21.7.4,Hilliard,+,VA-36,1628,1,4/8/2022,98,,,R,,0,95,
Kin22-SunRilHR-1629,UX1991,GA001138-8E36/GA06493-13LE6,21.8.1,UX1991-12,+,.,1629,4,4/5/2022,95,,,R,,0,100,
Kin22-SunRilHR-1630,UX1991,GA001138-8E36/GA06493-13LE6,21.8.2,UX1991-52,+,.,1630,4,4/5/2022,95,,,R,,1,100,
Kin22-SunRilHR-1631,UX1991,GA001138-8E36/GA06493-13LE6,21.8.3,UX1991-13,+,.,1631,3,4/7/2022,97,,,R,,0,100,
Kin22-SunRilHR-1632,UX1991,GA001138-8E36/GA06493-13LE6,21.8.4,UX1991-21,+,.,1632,3,4/14/2022,104,,,R,,0,110,
Kin22-SunRilHR-1633,UX1991,GA001138-8E36/GA06493-13LE6,21.9.1,UX1991-196,+,.,1633,4,3/29/2022,88,,,R,,1,95,
Kin22-SunRilHR-1634,Parent,Parent,21.9.2,NC08-23383,-,VA-91,1634,1,4/8/2022,98,,,R,,2,85,
Kin22-SunRilHR-1635,UX1991,GA001138-8E36/GA06493-13LE6,21.9.3,UX1991-64,+,.,1635,3,4/1/2022,91,,,R,,0,95,
Kin22-SunRilHR-1636,Parent,Parent,21.9.4,ARGA051160-14LE31,-,GA-81930,1636,1,4/9/2022,99,,,R,,3,100,
Kin22-SunRilHR-1637,UX1991,GA001138-8E36/GA06493-13LE6,21.10.1,UX1991-44,+,.,1637,3,4/3/2022,93,,,R,,2,100,
Kin22-SunRilHR-1638,UX1991,GA001138-8E36/GA06493-13LE6,21.10.2,UX1991-48,+,.,1638,2,4/13/2022,103,,,R,,0,95,
Kin22-SunRilHR-1639,UX1991,GA001138-8E36/GA06493-13LE6,21.10.3,UX1991-82,+,.,1639,2,4/9/2022,99,,,R,,2,95,
Kin22-SunRilHR-1640,UX1991,GA001138-8E36/GA06493-13LE6,21.10.4,UX1991-181,+,.,1640,3,4/12/2022,102,,,R,,2,110,
Kin22-SunRilHR-1641,UX1991,GA001138-8E36/GA06493-13LE6,21.11.1,UX1991-47,+,.,1641,2,4/13/2022,103,,/storage/emulated/0/fieldBook/plot_data/Kin22-SunRils-T1-T30/photos/Kin22-SunRilHR-1641_picture_1_2022-03-28-11-21-39.jpg,R10,,0,95,
Kin22-SunRilHR-1642,UX1991,GA001138-8E36/GA06493-13LE6,21.11.2,UX1991-37,+,.,1642,2,4/5/2022,95,,,R,,0,95,
Kin22-SunRilHR-1643,UX1991,GA001138-8E36/GA06493-13LE6,21.11.3,UX1991-43,+,.,1643,4,3/27/2022,86,,,R,,0,90,
Kin22-SunRilHR-1644,UX1991,GA001138-8E36/GA06493-13LE6,21.11.4,UX1991-41,+,.,1644,4,3/28/2022,87,,,R,,0,90,
Kin22-SunRilHR-1645,UX1991,GA001138-8E36/GA06493-13LE6,21.12.1,UX1991-9,+,.,1645,2,4/10/2022,100,,,R,,0,95,
Kin22-SunRilHR-1646,UX1991,GA001138-8E36/GA06493-13LE6,21.12.2,UX1991-14,+,.,1646,2,5/2/2022,122,,,R,,0,100,
Kin22-SunRilHR-1647,UX1991,GA001138-8E36/GA06493-13LE6,21.12.3,UX1991-42,+,.,1647,2,4/11/2022,101,,,R,,0,105,
Kin22-SunRilHR-1648,Parent,Parent,21.12.4,LA09264C-P2,+,R-8.1.3,1648,4,3/26/2022,85,,,R40,,1,85,
